"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20220214,20220511
2,1,1,1,1,1,0,0,20220214,20220511
3,0,0,0,1,1,0,0,20220214,20220511
4,0,1,0,0,0,0,0,20220214,20220511
5,0,0,0,0,0,0,0,20220214,20220511
6,0,0,0,0,0,0,0,20220214,20220511
7,0,0,0,0,0,0,0,20220214,20220511
8,0,0,0,0,0,0,1,20220214,20220511
9,0,0,0,0,0,0,0,20220214,20220511
10,0,0,0,0,0,1,0,20220214,20220511
11,0,0,0,0,0,0,0,20220214,20220511
12,0,0,0,0,0,0,0,20220214,20220511
13,0,0,0,0,0,0,0,20220214,20220511
14,1,0,0,0,0,0,0,20220214,20220511
15,0,0,1,0,0,0,0,20220214,20220511
16,0,0,0,1,0,0,0,20220214,20220511
17,0,0,0,0,1,0,0,20220214,20220511
18,0,1,0,1,0,0,0,20220214,20220511
19,0,0,1,0,1,0,0,20220214,20220511
20,0,0,0,0,1,0,0,20220214,20220511
21,0,1,0,0,0,0,0,20220214,20220511
22,1,0,0,1,0,0,0,20220214,20220511
23,0,0,0,0,0,0,0,20220214,20220511
24,0,0,0,0,1,1,0,20220214,20220511
25,0,0,0,0,0,0,1,20220214,20220511
26,0,0,0,0,0,1,0,20220214,20220511
27,1,0,1,0,1,0,0,20220214,20220511
28,1,1,0,1,0,0,0,20220214,20220511
29,0,0,0,0,0,0,0,20220214,20220511
30,0,0,0,0,0,0,0,20220214,20220511
31,0,0,0,0,0,0,0,20220214,20220511
32,0,0,0,0,0,0,0,20220214,20220511
33,1,1,1,1,1,0,0,20220214,20220511
34,0,0,0,0,0,0,0,20220214,20220511
35,0,0,0,0,0,1,0,20220214,20220511
36,0,0,0,0,0,0,0,20220214,20220511
37,0,0,0,0,0,0,1,20220214,20220511
38,0,0,0,0,0,0,0,20220214,20220511
39,1,1,1,1,1,0,0,20220214,20220511
40,0,0,0,0,0,0,0,20220214,20220511
41,1,0,1,1,1,0,0,20220214,20220511
42,1,1,1,1,0,0,0,20220214,20220511
43,1,0,1,1,0,0,0,20220214,20220511
44,1,1,0,0,1,0,0,20220214,20220511
45,1,0,0,0,1,0,0,20220214,20220511
46,0,1,1,1,1,0,0,20220214,20220511
47,0,0,0,0,0,0,0,20220214,20220511
